,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
2994910,2012-05-18,FB,42.05,45.0,38.0,38.23,38.23,573576400
2994911,2012-05-21,FB,36.53,36.66,33.0,34.03,34.03,168192700
2994912,2012-05-22,FB,32.61,33.59,30.94,31.0,31.0,101786600
2994913,2012-05-23,FB,31.37,32.5,31.36,32.0,32.0,73600000
2994914,2012-05-24,FB,32.95,33.21,31.77,33.03,33.03,50237200
2994915,2012-05-25,FB,32.9,32.95,31.11,31.91,31.91,37149800
2994916,2012-05-29,FB,31.48,31.69,28.65,28.84,28.84,78063400
2994917,2012-05-30,FB,28.7,29.55,27.86,28.19,28.19,57267900
2994918,2012-05-31,FB,28.55,29.67,26.83,29.6,29.6,111639200
2994919,2012-06-01,FB,28.89,29.15,27.39,27.72,27.72,41855500
2994920,2012-06-04,FB,27.2,27.65,26.44,26.9,26.9,35230300
2994921,2012-06-05,FB,26.7,27.76,25.75,25.87,25.87,42473400
2994922,2012-06-06,FB,26.07,27.17,25.52,26.81,26.81,61489200
2994923,2012-06-07,FB,27.0,27.35,26.15,26.31,26.31,26159500
2994924,2012-06-08,FB,26.55,27.76,26.44,27.1,27.1,38034000
2994925,2012-06-11,FB,27.18,28.07,26.84,27.01,27.01,28219600
2994926,2012-06-12,FB,27.48,27.77,26.96,27.4,27.4,15816800
2994927,2012-06-13,FB,27.66,28.1,27.1,27.27,27.27,17102800
2994928,2012-06-14,FB,27.65,28.32,27.38,28.29,28.29,16855000
2994929,2012-06-15,FB,28.51,30.1,28.35,30.01,30.01,43563800
2994930,2012-06-18,FB,29.96,32.08,29.41,31.41,31.41,42978900
2994931,2012-06-19,FB,31.54,32.18,30.7,31.91,31.91,30849000
2994932,2012-06-20,FB,31.92,31.93,31.15,31.6,31.6,15553600
2994933,2012-06-21,FB,31.67,32.5,31.51,31.84,31.84,21875300
2994934,2012-06-22,FB,32.41,33.45,32.06,33.05,33.05,74834000
2994935,2012-06-25,FB,32.86,33.02,31.55,32.06,32.06,24352900
2994936,2012-06-26,FB,32.69,33.44,32.5,33.1,33.1,24858700
2994937,2012-06-27,FB,32.46,32.9,31.9,32.23,32.23,28568000
2994938,2012-06-28,FB,31.96,32.19,30.9,31.36,31.36,17713300
2994939,2012-06-29,FB,31.92,31.99,30.76,31.1,31.1,19526900
2994940,2012-07-02,FB,31.25,31.73,30.55,30.77,30.77,14122000
2994941,2012-07-03,FB,30.91,31.44,30.8,31.2,31.2,8763600
2994942,2012-07-05,FB,31.32,31.63,31.02,31.47,31.47,10032100
2994943,2012-07-06,FB,31.44,31.9,31.26,31.73,31.73,10945600
2994944,2012-07-09,FB,32.1,32.88,31.99,32.17,32.17,17785200
2994945,2012-07-10,FB,32.43,32.48,31.16,31.47,31.47,14269500
2994946,2012-07-11,FB,31.48,31.56,30.55,30.97,30.97,13030300
2994947,2012-07-12,FB,30.7,31.4,30.6,30.81,30.81,11300700
2994948,2012-07-13,FB,31.04,31.07,30.56,30.72,30.72,8108300
2994949,2012-07-16,FB,30.5,30.5,28.21,28.25,28.25,24672100
2994950,2012-07-17,FB,28.48,28.59,27.15,28.09,28.09,30438600
2994951,2012-07-18,FB,28.31,29.29,28.15,29.11,29.11,16841800
2994952,2012-07-19,FB,29.41,29.5,28.63,29.0,29.0,13685100
2994953,2012-07-20,FB,29.0,29.47,28.72,28.76,28.76,11869100
2994954,2012-07-23,FB,28.12,29.0,28.01,28.75,28.75,12390700
2994955,2012-07-24,FB,28.82,29.45,28.1,28.45,28.45,11539800
2994956,2012-07-25,FB,28.39,29.49,28.08,29.34,29.34,17230200
2994957,2012-07-26,FB,27.75,28.23,26.73,26.85,26.85,64597400
2994958,2012-07-27,FB,23.19,24.54,22.28,23.71,23.71,123102300
2994959,2012-07-30,FB,24.0,24.04,23.03,23.15,23.15,29285900
2994960,2012-07-31,FB,23.37,23.37,21.61,21.71,21.71,56179400
2994961,2012-08-01,FB,21.5,21.58,20.84,20.88,20.88,44604400
2994962,2012-08-02,FB,20.77,20.84,19.82,20.04,20.04,56374500
2994963,2012-08-03,FB,20.36,22.16,19.9,21.09,21.09,80647000
2994964,2012-08-06,FB,21.39,22.15,21.3,21.92,21.92,27778900
2994965,2012-08-07,FB,22.2,22.45,20.5,20.72,20.72,36782900
2994966,2012-08-08,FB,20.71,21.15,20.22,20.72,20.72,29537400
2994967,2012-08-09,FB,20.75,21.17,20.61,21.01,21.01,15610700
2994968,2012-08-10,FB,21.41,21.82,21.13,21.81,21.81,25794700
2994969,2012-08-13,FB,22.15,22.45,21.4,21.6,21.6,24973100
2994970,2012-08-14,FB,21.41,21.6,20.25,20.38,20.38,39308800
2994971,2012-08-15,FB,20.64,21.41,20.4,21.2,21.2,47861100
2994972,2012-08-16,FB,20.44,20.48,19.69,19.87,19.87,157565300
2994973,2012-08-17,FB,20.01,20.08,19.0,19.05,19.05,129293400
2994974,2012-08-20,FB,19.05,20.13,18.75,20.01,20.01,101186600
2994975,2012-08-21,FB,19.58,19.98,19.09,19.16,19.16,70640600
2994976,2012-08-22,FB,19.36,19.53,18.96,19.44,19.44,49892200
2994977,2012-08-23,FB,19.5,19.73,19.36,19.44,19.44,32813700
2994978,2012-08-24,FB,19.52,19.68,19.25,19.41,19.41,29622200
2994979,2012-08-27,FB,19.49,19.53,19.1,19.15,19.15,20704000
2994980,2012-08-28,FB,19.1,19.38,18.95,19.34,19.34,25417000
2994981,2012-08-29,FB,19.32,19.38,19.07,19.1,19.1,16124700
2994982,2012-08-30,FB,19.27,19.45,19.06,19.09,19.09,30647500
2994983,2012-08-31,FB,18.68,18.7,18.03,18.06,18.06,58764200
2994984,2012-09-04,FB,18.08,18.27,17.55,17.73,17.73,46622400
2994985,2012-09-05,FB,18.27,18.75,18.18,18.58,18.58,60781800
2994986,2012-09-06,FB,18.74,19.26,18.72,18.96,18.96,46066500
2994987,2012-09-07,FB,19.1,19.42,18.78,18.98,18.98,36371700
2994988,2012-09-10,FB,19.06,19.2,18.55,18.81,18.81,24797800
2994989,2012-09-11,FB,18.92,19.58,18.85,19.43,19.43,50508200
2994990,2012-09-12,FB,20.76,21.16,20.28,20.93,20.93,121584000
2994991,2012-09-13,FB,20.96,21.48,20.61,20.71,20.71,65041600
2994992,2012-09-14,FB,21.13,22.08,20.9,22.0,22.0,72819800
2994993,2012-09-17,FB,22.67,22.75,21.5,21.52,21.52,50667600
2994994,2012-09-18,FB,21.6,21.98,21.37,21.87,21.87,36760500
2994995,2012-09-19,FB,21.99,23.37,21.77,23.29,23.29,78782800
2994996,2012-09-20,FB,23.02,23.24,22.54,22.59,22.59,57248900
2994997,2012-09-21,FB,22.97,23.24,22.6,22.86,22.86,51218100
2994998,2012-09-24,FB,21.78,21.98,20.36,20.79,20.79,79106500
2994999,2012-09-25,FB,21.2,21.21,20.22,20.28,20.28,46291700
2995000,2012-09-26,FB,20.15,20.78,19.8,20.62,20.62,38271900
2995001,2012-09-27,FB,20.99,21.0,20.16,20.32,20.32,30215900
2995002,2012-09-28,FB,20.57,21.95,20.5,21.66,21.66,65486000
2995003,2012-10-01,FB,22.08,22.59,21.73,21.99,21.99,51262700
2995004,2012-10-02,FB,22.08,22.49,21.82,22.27,22.27,29341400
2995005,2012-10-03,FB,22.3,22.49,21.8,21.83,21.83,32000100
2995006,2012-10-04,FB,22.32,22.4,21.41,21.95,21.95,46892100
2995007,2012-10-05,FB,21.49,21.63,20.88,20.91,20.91,40529300
2995008,2012-10-08,FB,20.4,20.75,20.16,20.4,20.4,32236700
2995009,2012-10-09,FB,20.39,20.55,19.97,20.23,20.23,27161800
2995010,2012-10-10,FB,19.93,19.94,19.45,19.64,19.64,39321800
2995011,2012-10-11,FB,19.88,19.96,19.61,19.75,19.75,21817300
2995012,2012-10-12,FB,19.75,19.8,19.48,19.52,19.52,18809400
2995013,2012-10-15,FB,19.68,19.88,19.49,19.52,19.52,20189700
2995014,2012-10-16,FB,19.68,19.69,19.3,19.48,19.48,21834700
2995015,2012-10-17,FB,19.5,20.48,19.37,19.88,19.88,44074500
2995016,2012-10-18,FB,19.7,19.79,18.89,18.98,18.98,52157400
2995017,2012-10-19,FB,19.0,19.06,18.8,19.0,19.0,34835000
2995018,2012-10-22,FB,19.2,19.43,19.05,19.32,19.32,32447300
2995019,2012-10-23,FB,19.25,19.8,19.1,19.5,19.5,78381200
2995020,2012-10-24,FB,24.13,24.25,22.85,23.23,23.23,228949900
2995021,2012-10-25,FB,23.29,23.31,22.47,22.56,22.56,76142000
2995022,2012-10-26,FB,22.4,22.88,21.88,21.94,21.94,73175800
2995023,2012-10-31,FB,20.82,21.5,20.73,21.11,21.11,99378200
2995024,2012-11-01,FB,21.08,21.44,21.01,21.21,21.21,37713900
2995025,2012-11-02,FB,21.26,21.69,21.07,21.18,21.18,38344400
2995026,2012-11-05,FB,21.1,21.48,20.92,21.25,21.25,31806700
2995027,2012-11-06,FB,21.24,21.37,20.99,21.17,21.17,29062700
2995028,2012-11-07,FB,20.85,20.95,20.37,20.47,20.47,33396800
2995029,2012-11-08,FB,20.52,20.73,19.98,19.99,19.99,34254600
2995030,2012-11-09,FB,19.96,20.0,19.13,19.21,19.21,42295500
2995031,2012-11-12,FB,19.15,20.17,18.87,20.07,20.07,67349200
2995032,2012-11-13,FB,19.61,20.11,19.56,19.86,19.86,71775100
2995033,2012-11-14,FB,20.1,22.5,19.93,22.36,22.36,229751000
2995034,2012-11-15,FB,22.34,22.5,21.65,22.17,22.17,78857700
2995035,2012-11-16,FB,22.25,23.93,22.18,23.56,23.56,107182200
2995036,2012-11-19,FB,23.96,24.12,22.82,22.92,22.92,85021300
2995037,2012-11-20,FB,22.73,23.9,22.7,23.1,23.1,46655300
2995038,2012-11-21,FB,23.22,24.53,23.05,24.32,24.32,89862400
